id_film;id_utilisateur;commentaire;date
0;1;"J'ai adoré ce film ! Les effets spéciaux sont incroyables et l'intrigue est captivante.";03/05/2024
0;2;"Un film très divertissant avec des rebondissements passionnants. Je le recommande vivement !";03/05/2024
0;3;"Je n'ai pas aimé ce film. L'intrigue était confuse et les personnages manquaient de profondeur.";03/05/2024
1;1;"Un classique intemporel ! L'histoire d'amour entre les deux personnages principaux est émouvante.";03/05/2024
1;2;"Ce film m'a vraiment touché. Les acteurs étaient fantastiques et l'histoire était poignante.";03/05/2024
1;3;"Je ne recommanderais pas ce film. L'intrigue était prévisible et les dialogues étaient peu naturels.";03/05/2024
2;1;"Un chef-d'œuvre musical ! Les numéros de danse étaient époustouflants et l'alchimie entre les acteurs était palpable.";03/05/2024
2;2;"Ce film m'a transporté dans un autre monde. La musique et les performances étaient à couper le souffle.";03/05/2024
2;3;"Je n'ai pas accroché à ce film. Les chansons étaient ennuyeuses et l'histoire manquait de substance.";03/05/2024



